Chip,SITE_ID,T2MIN,T2MAX,T2MEAN,TSMDEWMEAN,GWETROOT,LHLAND,SHLAND,SWLAND,PARDFLAND,PRECTOTLAND,GPP,date,year,month,doy,TILE_ID_x,Satellite,TILE_ID_y,num_nan,b2,b3,b4,b5,b6,b7,NDVI,EVI,GCI,NDWI,NIRv,kNDVI,PFT_CRO,PFT_DBF,PFT_ENF,PFT_GRA,PFT_SH-SA,PFT_WET,PFT,koppen_Arid,koppen_Cold,koppen_Polar,koppen_Temperate,koppen_Tropical,koppen
HLS.L30.T17SQD.2020090T155156.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,280.28,291.86,286.44,280.53,0.66,122.79,24.34,235.19,20.924425,0.0,2.8971,2020-03-30,2020,3,90,T17SQD,L30,T17SQD,0,0.04063388,0.06786016,0.0678922,0.29526864,0.23545176,0.139528,0.626103959887305,0.4066487005415835,-0.00047192460989620155,0.11270883877838501,0.18486886473453915,0.3730884390701024,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.L30.T17SQD.2020346T155235.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,273.16,287.72,278.43,277.48,0.71,25.04,-5.75,90.42,12.048866,0.0,1.17312,2020-12-11,2020,12,346,T17SQD,L30,T17SQD,0,0.04151660000000001,0.06631664000000001,0.07053076000000001,0.26970264,0.22134804000000002,0.13114972000000003,0.5853977886944667,0.3604235415280655,-0.0597486827024124,0.09847170968177861,0.1578833290610598,0.3298773047420543,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.L30.T17SQD.2021012T155225.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,268.59,280.59,273.01,270.19,0.82,19.4,10.37,107.93,11.6769,0.0,0.222665,2021-01-12,2021,1,12,T17SQD,L30,T17SQD,0,0.04782168,0.07523336,0.08684324,0.26977456,0.22710844000000002,0.14066656,0.5129618319668845,0.3193251170914319,-0.13368778041906315,0.08586753823334663,0.1383840525156602,0.2572206410389363,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.L30.T17SQD.2021156T155200.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,289.82,306.32,297.19,289.01,0.53,122.14,44.69,259.77,32.420567,5e-06,7.93099,2021-06-05,2021,6,156,T17SQD,L30,T17SQD,0,0.04733308000000001,0.0807834,0.08065464,0.3502166,0.26020716000000005,0.15705792000000002,0.625620684267532,0.4556039397697458,0.0015964363612559485,0.1474540243977396,0.21910274893384854,0.3725675965239772,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.L30.T17SQD.2021204T155213.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,289.06,304.24,296.73,284.49,0.46,50.43,127.14,267.71,38.004314,0.0,9.24774,2021-07-23,2021,7,204,T17SQD,L30,T17SQD,0,0.03686408,0.06203916,0.05156204,0.36194571999999997,0.20926172,0.10424135999999999,0.7506115000115111,0.556308012856782,0.20319444304375844,0.2673004399242418,0.27168061981194636,0.5105087650586071,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.L30.T17SQD.2021236T155225.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,293.98,309.02,300.82,291.21,0.5,91.9,63.71,242.95,28.63312,1e-06,7.91581,2021-08-24,2021,8,236,T17SQD,L30,T17SQD,0,0.03212228,0.05559884,0.042862040000000004,0.33075044000000003,0.19258852,0.09044328,0.7705534890055066,0.5343118177728706,0.297158044740754,0.2640008303604991,0.2548609055321065,0.5325892055727623,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.L30.T17SQD.2021300T155239.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,281.61,292.64,285.41,280.12,0.54,54.45,25.62,146.56,14.439976,1e-06,3.85396,2021-10-27,2021,10,300,T17SQD,L30,T17SQD,0,0.029213800000000005,0.05766816000000001,0.050164,0.3138976,0.19987836000000003,0.10520044,0.7244202629445128,0.47237737861053997,0.14959253648034476,0.22192404642677319,0.22739378192965148,0.4813844205220212,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.L30.T17SQD.2021316T155236.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,281.47,289.2,286.17,281.59,0.58,69.71,-12.56,123.07,13.483817,0.000183,1.75207,2021-11-12,2021,11,316,T17SQD,L30,T17SQD,0,0.030763880000000007,0.05918176000000001,0.05594876000000001,0.31057156,0.18534112000000003,0.09785616,0.6947030931327355,0.44969357239921903,0.057785016146917334,0.25252518245752453,0.21575502337105895,0.44833334345185455,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2019284T160209.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,281.34,297.5,289.03,276.31,0.41,18.32,72.3,180.56,16.804144,0.0,4.05025,2019-10-11,2019,10,284,T17SQD,S30,T17SQD,0,0.035636,0.06346012000000001,0.07007764,0.25963128,0.24642408,0.14962640000000002,0.5749120769920328,0.3354154894761647,-0.09443126223999532,0.026098330427722437,0.14926515843690005,0.3189914424397148,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2019319T160531.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,269.84,283.65,275.26,269.67,0.52,11.97,8.3,82.22,28.356506,0.0,1.32942,2019-11-15,2019,11,319,T17SQD,S30,T17SQD,0,0.04424112,0.07014516000000001,0.07624332,0.26733632,0.24923996,0.1501188,0.5561825491172876,0.3429552550867924,-0.07998287587686359,0.03503134135388486,0.14868779592923492,0.2998356667023165,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2019329T160611.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,272.24,286.32,277.93,273.87,0.55,26.97,0.02,109.86,12.261134,0.0,1.20071,2019-11-25,2019,11,329,T17SQD,S30,T17SQD,0,0.03953484,0.06556340000000001,0.07472336,0.26077328,0.23564348,0.13910044,0.5545507698676206,0.32926808393480134,-0.12258495870635355,0.05062238430467176,0.1446120231849046,0.2981852437975712,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2020034T160451.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,276.22,290.52,282.38,279.56,0.68,41.59,-53.57,100.5,29.782919,0.0,1.64672,2020-02-03,2020,2,34,T17SQD,S30,T17SQD,0,0.04614592,0.07139312,0.08726015999999999,0.2506566,0.26210052000000006,0.16619172000000001,0.4835405026965814,0.28603352388739367,-0.1818360177198849,-0.02231840291169443,0.12120261836821593,0.22964191866282496,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2020054T160241.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,269.14,285.34,275.27,269.77,0.7,44.41,6.01,165.51,20.085718,0.0,0.031947,2020-02-23,2020,2,54,T17SQD,S30,T17SQD,0,0.05010012,0.07487704,0.09198476,0.2401478,0.27226984000000004,0.18103204,0.44609610090621643,0.2615308706075312,-0.1859842869623185,-0.06268722520949913,0.10712899722120588,0.19641575229318622,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2020064T160131.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,275.62,288.67,282.12,275.61,0.7,95.36,-11.66,183.21,16.694704,2e-06,1.47476,2020-03-04,2020,3,64,T17SQD,S30,T17SQD,0,0.04739016,0.07361932,0.0903874,0.25311224000000004,0.26389948,0.16896672000000001,0.47372637712225846,0.282506354606707,-0.1855134675850838,-0.02086459471363623,0.11990594446049961,0.22072363848289658,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2020069T155959.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,275.13,294.59,283.33,276.86,0.67,92.56,-18.74,190.8,22.362633,0.0,1.59499,2020-03-09,2020,3,69,T17SQD,S30,T17SQD,0,0.05142240000000001,0.07814504,0.09477784000000002,0.25862376000000004,0.28269407999999996,0.18092404,0.46362529201905145,0.2841345184052306,-0.1754924990905049,-0.04446614949915547,0.1199045162530651,0.2116980607997353,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2020094T155901.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,276.26,289.75,282.61,273.87,0.64,131.81,4.24,248.94,18.535608,0.0,4.79008,2020-04-03,2020,4,94,T17SQD,S30,T17SQD,0,0.03791264,0.06730092,0.06529788,0.30186651999999997,0.23563176000000002,0.13934839999999998,0.6443125749664184,0.4196536032906906,0.030675421621651378,0.12322785479425152,0.1944963947973518,0.3928271579457866,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2020329T160609.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,271.02,282.58,276.14,272.13,0.67,29.53,10.42,100.12,16.514757,0.0,1.53358,2020-11-24,2020,11,329,T17SQD,S30,T17SQD,0,0.040545000000000005,0.06532764,0.066852,0.27066964000000004,0.22802344000000002,0.13257412,0.6038653995637139,0.3725570543133278,-0.022802010411057116,0.08551592494525895,0.16344803030836663,0.34930629062311397,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2020334T160621.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,270.74,285.21,276.75,273.39,0.66,34.49,0.69,102.59,14.099717,0.0,0.989371,2020-11-29,2020,11,334,T17SQD,S30,T17SQD,0,0.036397280000000004,0.06228864,0.06599195999999999,0.27287144,0.2251456,0.13379876,0.6105099576997693,0.37052768662620955,-0.05611774525260338,0.09583174101833948,0.16659073129187515,0.35637067705469444,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2020364T160651.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,269.44,275.73,272.52,269.28,0.81,37.59,-15.88,100.92,10.545487,0.0,0.935549,2020-12-29,2020,12,364,T17SQD,S30,T17SQD,0,0.047207040000000006,0.07374847999999999,0.08247328,0.27578736,0.25393015999999996,0.16179136,0.539590617601755,0.3411647525088413,-0.10578941446247814,0.04126199186313495,0.14881227190915752,0.2832003190576484,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2021013T160629.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,269.56,281.01,273.38,270.91,0.82,22.36,4.81,105.12,12.462258,0.0,0.448896,2021-01-13,2021,1,13,T17SQD,S30,T17SQD,0,0.046653200000000006,0.07359560000000001,0.08617128,0.26464596,0.24554104000000002,0.15112788,0.5087397643285717,0.311631933919433,-0.14593818265203895,0.037446896922108945,0.13463592332090862,0.25318790274656844,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2021028T160521.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,268.73,272.39,270.51,266.56,0.8,66.09,17.86,117.44,13.832631,0.0,0.167351,2021-01-28,2021,1,28,T17SQD,S30,T17SQD,0,0.051471,0.07675472,0.09377484,0.26747888000000003,0.25790004000000005,0.16817508000000003,0.4808366817648273,0.3007142699753179,-0.1814998564646978,0.01823225035370657,0.12861365710137243,0.22717044890353405,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2021073T155929.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,272.8,287.03,278.95,273.34,0.8,119.74,-16.64,197.55,27.188551,0.0,2.23047,2021-03-14,2021,3,73,T17SQD,S30,T17SQD,0,0.05824672,0.08675688,0.10877204000000001,0.26699372000000005,0.29544228,0.19147896,0.42106465474661664,0.2667660640427605,-0.2023972337008667,-0.050580972768457126,0.11242161853131485,0.17546082513989775,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2021168T155901.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,283.33,299.12,291.58,280.09,0.54,132.8,71.2,311.5,24.064987,0.0,7.2243,2021-06-17,2021,6,168,T17SQD,S30,T17SQD,0,0.035399440000000004,0.06943712,0.060869799999999995,0.34474264000000004,0.2421058,0.141514,0.6998622626071332,0.49131116749859155,0.14074828568518405,0.17489496947457173,0.24127236404755642,0.4540633857252246,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2021208T155911.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,291.2,308.68,300.18,288.96,0.45,65.26,113.52,275.89,31.071524,1.6e-05,7.30883,2021-07-27,2021,7,208,T17SQD,S30,T17SQD,0,0.035112880000000006,0.060637800000000006,0.052082039999999996,0.35205016,0.21848320000000004,0.10932324000000002,0.742252460952134,0.5352002196980608,0.16427467126863715,0.23410893974718666,0.26131009763859253,0.5012234288371542,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2021223T155819.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,294.68,309.8,301.48,293.65,0.43,76.82,75.92,222.12,29.942545,6.5e-05,4.94257,2021-08-11,2021,8,223,T17SQD,S30,T17SQD,0,0.03179216,0.059199760000000004,0.05066832,0.3330428,0.21231192000000002,0.09969344000000001,0.7359038226465786,0.5047407302922831,0.16837818976433394,0.22138046224299662,0.24508746962491998,0.49416371519895075,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2021238T155911.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,293.71,307.46,299.94,293.39,0.49,92.39,61.69,216.0,28.716064,6.6e-05,7.64959,2021-08-26,2021,8,238,T17SQD,S30,T17SQD,0,0.031141,0.05662556,0.044546960000000003,0.32229044,0.20207996000000003,0.0942298,0.7571296710749775,0.5120583869776631,0.27114308136851517,0.22924726491045258,0.2440156548278098,0.5177386825189508,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2021293T160209.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,282.58,297.43,288.46,280.39,0.52,50.21,20.69,160.99,15.050569,0.0,4.22513,2021-10-20,2021,10,293,T17SQD,S30,T17SQD,0,0.029478200000000003,0.05837596,0.048383480000000006,0.30093808,0.20844812000000001,0.10756448,0.72298600750552,0.46081477677308974,0.20652669051502692,0.18157138925239824,0.21757402096557676,0.47978793904778866,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2021313T160459.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,277.83,295.53,284.66,278.49,0.58,51.82,-19.21,131.39,12.298482,0.0,3.71632,2021-11-09,2021,11,313,T17SQD,S30,T17SQD,0,0.030342240000000003,0.060784000000000005,0.05491516000000001,0.30908252,0.21220848,0.11351692000000001,0.6982664285113025,0.45032983118123865,0.10687103524782571,0.185834859991828,0.21582194735567325,0.4522904216613322,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
HLS.S30.T17SQD.2021328T160611.v2.0.US-xBL_merged.50x50pixels.tif,US-xBL,268.42,281.95,273.19,267.11,0.57,22.22,12.82,111.97,11.436577,0.0,1.27178,2021-11-24,2021,11,328,T17SQD,S30,T17SQD,0,0.0358714,0.0634308,0.06415772,0.30224736,0.21826708000000003,0.12673316,0.6497989602109228,0.41971629709176733,-0.011330203130660021,0.16134092264568103,0.19640002025449646,0.3988147293165636,False,True,False,False,False,False,DBF,False,True,False,False,False,Cold
